ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	LEXSTATIDS	ALIGNMENT
202	20_bird	bird	Baocheng	Baocheng Hlai	tat7	tat7	t a t *7/⁵²	hlai1239	937	18.64	109.70		1 7 1 8	AXLT	TAT3	2	2.T.C 2.A.V 2.T.c 2.3.T	1.6 3.0 1.1 1.0	tat*7/⁵²	0	58	58	t - a t *7/⁵²
203	20_bird	bird	Gelong	Gelong	tshiat2	tshiat2	tsʰ i/j a t *2/²		937	19.10	108.65		2 6 7 1 8	ACXLT	CJAT6	4	4.C.C 4.J.C 4.A.V 4.T.c 4.6.T	1.6 1.2 3.0 1.1 1.0	tsʰi/jat*2/²	0	58	58	tsʰ i/j a t *2/²
549	56_bite	bite	Xifang	Xifang Hlai	kan3	kan3	k a n *3/³	hlai1239	1403	19.30	109.24		1 7 4 8	AXLT	KAN6	8	8.K.C 8.A.V 8.N.c 8.6.T	1.6 3.0 1.1 1.0	kan*3/³	0	69	69	k a n *3/³
550	56_bite	bite	Baisha	Baisha Hlai	kan3	kan3	k a n *3/³	hlai1239	1403	18.65	108.72		1 7 4 8	AXLT	KAN6	1	1.K.C 1.A.V 1.N.c 1.6.T	1.6 3.0 1.1 1.0	kan*3/³	0	69	69	k a n *3/³
551	56_bite	bite	Yuanmen	Yuanmen Hlai	rap8	rap8	r a p *8/⁵³	hlai1239	1403	19.11	109.54		5 7 1 8	AXLT	RAP3	9	9.R.C 9.A.V 9.P.c 9.3.T	1.6 3.0 1.1 1.0	rap*8/⁵³	0	71	72	r a p *8/⁵³
552	56_bite	bite	Heitu	Heitu Hlai	than3	than3	tʰ a n *3/³	hlai1239	1403	19.51	108.94		1 7 4 8	AXLT	TAN6	5	5.T.C 5.A.V 5.N.c 5.6.T	1.6 3.0 1.1 1.0	tʰan*3/³	0	69	71	tʰ a n *3/³
553	56_bite	bite	Baoding	Baoding Hlai	ka:ȵ3	ka:ȵ3	k aː ȵ *3/³	hlai1239	1403	18.77	110.45		1 7 4 8	AXLT	KAN6	3	3.K.C 3.A.V 3.N.c 3.6.T	1.6 3.0 1.1 1.0	kaːȵ*3/³	0	69	69	k aː ȵ *3/³
554	56_bite	bite	Zhongsha	Zhongsha Hlai	ka:n3	ka:n3	k aː n *3/³	hlai1239	1403	15.83	114.33		1 7 4 8	AXLT	KAN6	10	10.K.C 10.A.V 10.N.c 10.6.T	1.6 3.0 1.1 1.0	kaːn*3/³	0	69	69	k aː n *3/³
555	56_bite	bite	Tongzha	Tongzha Hlai	ka:n8	ka:n8	k aː n *8/⁵³	hlai1239	1403	18.88	109.67		1 7 4 8	AXLT	KAN3	7	7.K.C 7.A.V 7.N.c 7.3.T	1.6 3.0 1.1 1.0	kaːn*8/⁵³	0	69	69	k aː n *8/⁵³
556	56_bite	bite	Qiandui	Quiandui Hlai	kha:n6	kha:n6	kʰ aː n *6/⁵¹	hlai1239	1403	18.91	110.04		1 7 4 8	AXLT	KAN3	6	6.K.C 6.A.V 6.N.c 6.3.T	1.6 3.0 1.1 1.0	kʰaːn*6/⁵¹	0	69	69	kʰ aː n *6/⁵¹
557	56_bite	bite	Baocheng	Baocheng Hlai	ka:n6	ka:n6	k aː n *6/⁵¹	hlai1239	1403	18.64	109.70		1 7 4 8	AXLT	KAN3	2	2.K.C 2.A.V 2.N.c 2.3.T	1.6 3.0 1.1 1.0	kaːn*6/⁵¹	0	69	69	k aː n *6/⁵¹
558	56_bite	bite	Gelong	Gelong	ŋat2	ŋat2	ŋ a t *2/²		1403	19.10	108.65		4 7 1 8	AXLT	NAT6	4	4.N.C 4.A.V 4.T.c 4.6.T	1.6 3.0 1.1 1.0	ŋat*2/²	0	70	70	ŋ a t *2/²
889	91_black	black	Xifang	Xifang Hlai	dam3	dam3	d a m *3/³	hlai1239	163	19.30	109.24		1 7 4 8	AXLT	TAM6	8	8.T.C 8.A.V 8.M.c 8.6.T	1.6 3.0 1.1 1.0	dam*3/³	0	80	80	d a m *3/³
890	91_black	black	Baisha	Baisha Hlai	dam3	dam3	d a m *3/³	hlai1239	163	18.65	108.72		1 7 4 8	AXLT	TAM6	1	1.T.C 1.A.V 1.M.c 1.6.T	1.6 3.0 1.1 1.0	dam*3/³	0	80	80	d a m *3/³
891	91_black	black	Yuanmen	Yuanmen Hlai	dam3	dam3	d a m *3/³	hlai1239	163	19.11	109.54		1 7 4 8	AXLT	TAM6	9	9.T.C 9.A.V 9.M.c 9.6.T	1.6 3.0 1.1 1.0	dam*3/³	0	80	80	d a m *3/³
892	91_black	black	Heitu	Heitu Hlai	dom3	dom3	d o m *3/³	hlai1239	163	19.51	108.94		1 7 4 8	AXLT	TUM6	5	5.T.C 5.U.V 5.M.c 5.6.T	1.6 3.0 1.1 1.0	dom*3/³	0	80	80	d o m *3/³
893	91_black	black	Baoding	Baoding Hlai	dom2	dom2	d o m *2/²	hlai1239	163	18.77	110.45		1 7 4 8	AXLT	TUM6	3	3.T.C 3.U.V 3.M.c 3.6.T	1.6 3.0 1.1 1.0	dom*2/²	0	80	80	d o m *2/²
894	91_black	black	Zhongsha	Zhongsha Hlai	dam3	dam3	d a m *3/³	hlai1239	163	15.83	114.33		1 7 4 8	AXLT	TAM6	10	10.T.C 10.A.V 10.M.c 10.6.T	1.6 3.0 1.1 1.0	dam*3/³	0	80	80	d a m *3/³
895	91_black	black	Tongzha	Tongzha Hlai	dam3	dam3	d a m *3/³	hlai1239	163	18.88	109.67		1 7 4 8	AXLT	TAM6	7	7.T.C 7.A.V 7.M.c 7.6.T	1.6 3.0 1.1 1.0	dam*3/³	0	80	80	d a m *3/³
