No	English	XF	BS	YM	HT	BD	ZS	TZ	QD	BC	Gelong
68	sit	tsɔŋ3	tsɔŋ1	tɔŋ3	tsuŋ3	tsoŋ3	tsuŋ3	tsoŋ3	tsoŋ3	tsɔŋ3	tsom5
69	stand	tsuŋ1	tsuŋ1	tun1	tsu:n1	tsu:n1	tsu:n1	tsu:n1	tsu:n1	tsu:n1	hɔi5
70	give	tɯŋ2	kau2	kau2	ɗeɯ1	tɯ:ŋ2	ɗeɯ1	ɗeɯ1	ɗeɯ1	ɗeɯ1	tsɯɘŋ5
71	say	tshem2	tshem2	ȵeɯ4	ri:n1	ri:n1	ri:n1	ri:n4	khuaŋ3	li:n4	kaːŋ2
72	sun	tsha3 // vaŋ1	tsha1 // vaŋ1	van4	tsha1 // ven1	tsha1 hwan1	tsha2 // van1	tsha1 // van4	tsha1 // van4	tsha1 van1	zi1 // hon4
73	moon	ȵa:ŋ1	ȵa:ŋ1	ȵuan4	ȵa:n1	ȵa:n1	ȵa:n1	ȵa:n1	na:n4	ȵa:n1	ȵɔn1
74	star	ra:u1	ra:u1	ra:u4	ra:u1	ra:u1	ra:u1	ra:u4	la:u4	la:u4	laːu4
75	water	nam3	nam3	nam6	nom3	nom3	nam3	nam3	nam6	nam3	nam3
76	rain	foŋ1	foŋ1	fhən1	pun1	fun1	fun1	fun1	fun1	fun1	fən1
77	stone	tshiŋ1	tshiŋ4	tshin1	tshin1	tshin1	tshin1	tshi:n1	tshi:n1	tshi:n1	sin1
78	sand	phau2	phau2	phau5	phau2	phou2	phau2	phau5	pho5	phɔ5	pha5
79	earth	ɣaŋ1	fanŋ1	fan4	ren1	van1	ran1	fan4	fan4	fan4	it2
80	cloud	fa3 // dɯ2	fa3 // deɁ7	fha3 // diaɁ7	---	fa3 // de:k7	fa3 // ze:Ɂ7	fa3 // fe:Ɂ7	---	---	vən1
81	smoke	Ɂen1	Ɂin1	za4	zɯ:Ɂ7	za1	zɯ:Ɂ7	za4	za4	za1	ŋuan1 fo1
82	fire	fei1	fei1	fhei1	pei1	fei1	fei1	fei1	fei1	fei1	fo1
83	ashes	---	---	---	---	---	---	---	---	---	bu2 tθai3
84	burn	tshui3	tshoi3	tshou3	tshui3	tshui3	tshui3	tshui3	tshui3	tshui3	tshɔi3
85	path	kuŋ1	kuŋ1	kun5	ku:n1	ku:n1	ku:n1	ku:n1	ku:n1	ku:n1	kai5
